"MachineID";"ReadingDate";"AvgTemp";"AvgVibration";"AvgPressure";"MaxRuntime";"MachineType";"AgeYears";"LastOverhaulDate";"FailureWithin30Days"
"M052";"2025-01-01";67.31864303708369;1.6895369530797568;88.84079739605991;4089.724529490977;"TypeB";7;"2023-02-01";1
"M052";"2025-01-01";67.31864303708369;1.6895369530797568;88.84079739605991;4089.724529490977;"TypeB";7;"2023-02-01";0
"M052";"2025-01-01";67.31864303708369;1.6895369530797568;88.84079739605991;4089.724529490977;"TypeB";7;"2023-02-01";0
"M052";"2025-01-01";67.31864303708369;1.6895369530797568;88.84079739605991;4089.724529490977;"TypeB";7;"2023-02-01";0
"M052";"2025-01-01";67.31864303708369;1.6895369530797568;88.84079739605991;4089.724529490977;"TypeB";7;"2023-02-01";0
"M052";"2025-01-01";67.31864303708369;1.6895369530797568;88.84079739605991;4089.724529490977;"TypeB";7;"2023-02-01";1
"M093";"2025-01-01";70.30617550818127;1.5631400164055818;88.94851108807242;4103.701648130129;"TypeB";11;"2022-10-26";0
"M093";"2025-01-01";70.30617550818127;1.5631400164055818;88.94851108807242;4103.701648130129;"TypeB";11;"2022-10-26";0
"M093";"2025-01-01";70.30617550818127;1.5631400164055818;88.94851108807242;4103.701648130129;"TypeB";11;"2022-10-26";1
"M093";"2025-01-01";70.30617550818127;1.5631400164055818;88.94851108807242;4103.701648130129;"TypeB";11;"2022-10-26";0
"M093";"2025-01-01";70.30617550818127;1.5631400164055818;88.94851108807242;4103.701648130129;"TypeB";11;"2022-10-26";0
"M015";"2025-01-01";63.73397581186753;1.9810167250958888;98.0112998969517;3983.999791352726;"TypeC";6;"2023-01-15";1
"M015";"2025-01-01";63.73397581186753;1.9810167250958888;98.0112998969517;3983.999791352726;"TypeC";6;"2023-01-15";0
"M015";"2025-01-01";63.73397581186753;1.9810167250958888;98.0112998969517;3983.999791352726;"TypeC";6;"2023-01-15";1
"M072";"2025-01-01";85.86359453975692;2.074106612465857;94.42817156272565;4784.860163360919;"TypeA";10;"2024-10-17";0
"M072";"2025-01-01";85.86359453975692;2.074106612465857;94.42817156272565;4784.860163360919;"TypeA";10;"2024-10-17";0
"M072";"2025-01-01";85.86359453975692;2.074106612465857;94.42817156272565;4784.860163360919;"TypeA";10;"2024-10-17";0
"M072";"2025-01-01";85.86359453975692;2.074106612465857;94.42817156272565;4784.860163360919;"TypeA";10;"2024-10-17";1
"M072";"2025-01-01";85.86359453975692;2.074106612465857;94.42817156272565;4784.860163360919;"TypeA";10;"2024-10-17";0
"M021";"2025-01-01";58.459364870283714;1.7970259895666185;104.36614166038238;2326.542359619397;"TypeA";14;"2023-11-05";0
"M021";"2025-01-01";58.459364870283714;1.7970259895666185;104.36614166038238;2326.542359619397;"TypeA";14;"2023-11-05";1
"M021";"2025-01-01";58.459364870283714;1.7970259895666185;104.36614166038238;2326.542359619397;"TypeA";14;"2023-11-05";0
"M088";"2025-01-01";79.9974584903099;1.6673569602192013;110.84643250795965;4705.287841856943;"2025-04-06";10;"2024-03-10";1
"M088";"2025-01-01";79.9974584903099;1.6673569602192013;110.84643250795965;4705.287841856943;"2025-04-06";10;"2024-03-10";0
